alpha,question_id,question_type,khr,latency_ms,ground_truth_in_corpus,error,answer_snippet
0.0,n1,1,0.6666666666666666,29018.610334023833,True,,"The principal risk factors for Apple as disclosed in the fiscal year 2025 10-K are discussed under the heading ""Risk Factors"" in Part I, Item 1A of the 2025 Form 10-K. However, the provided text does "
0.0,n2,1,0.6666666666666666,9324.098584009334,True,,"In fiscal year 2025, Microsoft describes its Azure business as a component of its ""Service and other revenue,"" which includes sales from cloud-based solutions providing software, services, platforms, "
0.0,n3,1,1.0,14552.725832909346,True,,"In its 10-K filing for the fiscal year ended December 31, 2025, filed on February 4, 2026, Alphabet discusses AI competition within its ""ITEM 1A. RISK FACTORS"" section, stating the following:

*   AI "
0.0,n4,1,0.6666666666666666,10786.749207880348,True,,"The provided ""Amazon.com Annual Report for fiscal year ending December 31, 2025 - Form 10-K"" discusses various factors that could affect actual results and outcomes, including ""the rate of growth of t"
0.0,n5,1,1.0,37447.332500014454,True,,"Meta states that its investments in Reality Labs reduced its overall operating profit by approximately $19.19 billion for fiscal year 2025, as cited in SEC filing 0001628280-26-028526. Reality Labs' i"
0.0,t1,3,1.0,6871.068040840328,True,,"Apple's total net sales were $416,161 million for fiscal year 2025, according to the ""Performance"" section in the TABLE from data/sec_filings/sec-edgar-filings/AAPL/10-K/0000320193-25-000079/full-subm"
0.0,t2,3,1.0,4041.6472079232335,True,,"Apple's iPhone net sales were $209,586 million for fiscal year 2025, according to the ""Products and Services Performance"" table from the Apple Inc. 2025 Form 10-K filing."
0.0,t3,3,0.3333333333333333,21976.44120804034,True,,"Microsoft's revenue from Intelligent Cloud for fiscal year 2025 was $13,683 million. This information is found in the table from `data/sec_filings/sec-edgar-filings/MSFT/10-K/0000950170-25-100235/full"
0.0,t4,3,0.6666666666666666,6114.295749925077,True,,"Alphabet's Google Cloud revenue was $58,705 million for fiscal year 2025, according to the table in the section dated December 31, 2025, from the 10-K filing 0001652044-26-000018."
0.0,t5,3,0.6666666666666666,7468.291665893048,True,,"Amazon's AWS net sales for fiscal year 2025 were $45,606 million. This information is found in a table within the 10-K filing dated 2026."
0.0,t6,3,0.6666666666666666,2992.245625006035,True,,"Meta's total advertising revenues for 2025 were $196,175 million."
0.0,t7,3,0.3333333333333333,6436.205083038658,True,,"Apple's total net sales for the three months ended March 28, 2026, were $111,184 million, as stated in ""Note 2 – Revenue"" of the Q2 2026 Form 10-Q filing."
0.0,t8,3,0.6666666666666666,28618.77475003712,True,,"Microsoft's revenue for fiscal year 2026 was $82,886, according to information from the SEC filing `data/sec_filings/sec-edgar-filings/MSFT/10-Q/0001193125-26-191507/full-submission.txt`. This figure "
0.0,m1,4,1.0,17154.74595897831,True,,"Apple's iPhone revenue increased by $8,403 million, from $201,183 million for fiscal year 2024 to $209,586 million for fiscal year 2025, representing a 4% increase. This increase was due to higher net"
0.0,m2,4,0.3333333333333333,34356.47179209627,True,,"Microsoft's Intelligent Cloud segment reported revenue of **$13,683 million for fiscal year 2025**. Furthermore, as of the period ending June 30, 2025, this segment reported **$14,022 million** in rev"
0.0,m3,4,0.6666666666666666,14802.951249992475,True,,"Amazon's AWS sales increased by 20% in fiscal year 2025, compared to the prior year. This information is from the ""Operating Expenses Information"" section of the 10-K filing dated 2026.

Regarding man"
0.0,m4,4,1.0,629540.257750079,True,,"Based on the information available, Meta's family of apps daily active users showed a slight decrease from Q4 2025 to Q1 2026, with 3.58 billion daily active users in the former and 3.56 billion in th"
0.0,m5,4,0.0,43698.616958921775,True,"('Connection aborted.', OSError(49, ""Can't assign requested address""))",
0.0,oc1,1,1.0,1588.1337500177324,False,,"The current federal funds rate is 3.50% to 3.75%, according to the Federal Open Market Committee (FOMC), and the effective federal funds rate is at 3.64%. However, the most recent and specific update "
0.0,oc2,1,0.6666666666666666,5434.243999887258,False,,"Based on the provided context, Tesla, Inc.'s market capitalization today is approximately $1.61 trillion.

Specifically:
*   TradingView states Tesla, Inc. has a market capitalization of $1.61 trillio"
0.0,oc3,1,1.0,5018.153415992856,False,,"The current US Treasury Secretary is Scott Bessent. He was sworn in as the 79th Secretary of the Treasury of the United States on January 28, 2025, according to information from https://home.treasury."
0.0,oc4,1,0.6666666666666666,4031.4619580749422,False,,"The S&P 500's closing price yesterday, May 7, 2026, was 7,337.11, as indicated by the ""Prior Close"" figure from WSJ and ""Prev Close"" from CNBC. This can be found in the ""Historical Prices"" section on "
0.4,n1,1,0.3333333333333333,17771.466207923368,True,,"The principal risk factors vary depending on the context; however, according to general financial terminology, the term ""principal risk"" generally refers to the danger that an investor may lose their "
0.4,n2,1,1.0,14144.318917067721,True,,"Microsoft describes its Azure business as a comprehensive set of cloud services that offers developers, IT professionals, and enterprises the freedom to build, deploy, and manage applications on any p"
0.4,n3,1,1.0,11074.084124993533,True,,"In its 2025 10-K filing, Alphabet discusses AI competition within the context of its overall competitive landscape and specific challenges related to AI technology.

Alphabet states that the company f"
0.4,n4,1,0.3333333333333333,11126.57470908016,True,,"Amazon's 2025 SEC report, specifically the Annual Report on Form 10-K for the year ended December 31, 2025, describes its AWS strategy as serving ""developers and enterprises of all sizes"" by offering "
0.4,n5,1,1.0,12717.940125148743,True,,"In its 2025 Form 10-K, Meta Platforms, Inc. states that its financial results are reported based on two segments, with Reality Labs (RL) including virtual and augmented reality related consumer hardwa"
0.4,t1,3,1.0,4433.237083023414,True,,"Apple's total net sales were $416,161 million for fiscal year 2025, as stated in the 'Performance' and 'Products and Services Performance' tables from the full-submission.txt of the AAPL 2025 Form 10-"
0.4,t2,3,1.0,3013.7554579414427,True,,"Apple's iPhone net sales were $209,586 million for fiscal year 2025. This information is from the ""Products and Services Performance"" table in the Apple Inc. 2025 Form 10-K filing."
